Province_TH,Province_EN,Province_Code,Region,Latitude,Longitude,Coordinate_Source
สุรินทร์,Surin,SRT,Northeast,14.8818,103.4936,Provincial administrative center reference point (static dataset v1)
สุโขทัย,Sukhothai,STI,North,17.0078,99.8233,Provincial administrative center reference point (static dataset v1)
หนองคาย,Nong Khai,NKI,Northeast,17.8783,102.7413,Provincial administrative center reference point (static dataset v1)
หนองบัวลำภู,Nong Bua Lamphu,NBP,Northeast,17.2041,102.4407,Provincial administrative center reference point (static dataset v1)
อำนาจเจริญ,Amnat Charoen,ACR,Northeast,15.8657,104.6258,Provincial administrative center reference point (static dataset v1)
อุดรธานี,Udon Thani,UDN,Northeast,17.4138,102.7875,Provincial administrative center reference point (static dataset v1)
อุตรดิตถ์,Uttaradit,UTT,North,17.62,100.0993,Provincial administrative center reference point (static dataset v1)
อุทัยธานี,Uthai Thani,UTH,Central,15.3835,100.024,Provincial administrative center reference point (static dataset v1)
อุบลราชธานี,Ubon Ratchathani,UBN,Northeast,15.2287,104.859,Provincial administrative center reference point (static dataset v1)
อ่างทอง,Ang Thong,ATG,Central,14.5896,100.4551,Provincial administrative center reference point (static dataset v1)
เชียงราย,Chiang Rai,CRI,North,19.9105,99.8406,Provincial administrative center reference point (static dataset v1)
เชียงใหม่,Chiang Mai,CMI,North,18.7883,98.9853,Provincial administrative center reference point (static dataset v1)
เพชรบุรี,Phetchaburi,PBI,West,13.1119,99.9398,Provincial administrative center reference point (static dataset v1)
เพชรบูรณ์,Phetchabun,PNB,North,16.4189,101.155,Provincial administrative center reference point (static dataset v1)
เลย,Loei,LOE,Northeast,17.486,101.7223,Provincial administrative center reference point (static dataset v1)
แพร่,Phrae,PRE,North,18.1446,100.1403,Provincial administrative center reference point (static dataset v1)
แม่ฮ่องสอน,Mae Hong Son,MSN,North,19.302,97.9654,Provincial administrative center reference point (static dataset v1)
พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,AYA,Central,14.3532,100.5684,Provincial administrative center reference point (static dataset v1)
